id;author;ee;ee-type;key;mdate;note;note-type;school;title;year
6338;Tatu Ylönen;;;phd/Ylonen94;2002-01-03;;;Helsinki University of Technology, Department of Computer Science;Shadow Paging Is Feasible.;1994
6339;Peter Van Roy;;;phd/VanRoy84;2002-01-03;;;University of California at Berkeley;A Prolog Compiler for the PLM.;1984
42121;Jiwei Li;https://discovery.ucl.ac.uk/id/eprint/1472248/|https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.789981;;phd/ethos/Li15e;2023-03-10;British Library, EThOS;source;University College London, UK;A critical review of physical layer security in wireless networking.;2015
53725;Martin Monperrus;https://tel.archives-ouvertes.fr/hal-01253225;;phd/hal/Monperrus04;2023-03-09;;;University of Technology of Compiègne, France;Manifolds: beyond locality.;2004
60190;Leo Liberti;https://tel.archives-ouvertes.fr/hal-00163561;;phd/hal/Liberti97;2022-12-06;;;University of Turin, Italy;Fondamenti algebrici degli automi cellulari invertibili. (Algebraic foundations of invertible cellular automata / Fondations algébriques des automates cellulaires inversibles).;1997
60467;Salim Perchy;https://tel.archives-ouvertes.fr/tel-01257184;oa;phd/hal/Perchy13;2020-07-21;;;Pontifical Xavierian University, Bogotá, Colombia;Multimedia Interaction with NTCC. (Interacción Multimedia con NTCCInteraction Multimédia avec NTCC).;2013
71953;Christian Schulte 0001;;;phd/Schulte92;2017-12-26;;;Universität Karlsruhe, Institut für Logik, Komplexität und Deduktionssysteme;Entwurf und Implementierung eines übersetzenden Systems für das intuitionistische logische Programmieren auf der Warren Abstract Machine.;1991
74831;Liang Dai;https://www.escholarship.org/uc/item/1hm5t2z6;;phd/us/Dai14;2022-06-08;;;University of California, Santa Cruz, USA;Online Controlled Experiment Design: Trade-off between Statistical Uncertainty and Cumulative Reward.;2014
80826;Satyan R. Coorg;https://hdl.handle.net/1721.1/32607;;phd/ndltd/Coorg94;2022-05-04;ndltd.org (oai:dspace.mit.edu:1721.1/32607);source;Massachusetts Institute of Technology, Cambridge, USA;Partitioning non-strict languages for multi-threaded code generation.;1994
83952;Rodrigo Pastl Pontes;http://search.ndltd.org/show.php?id=oai:union.ndltd.org:IBICT/oai:agregador.ibict.br.BDTD_ITA:oai:ita.br:1138|http://www.bd.bibl.ita.br/tde_busca/arquivo.php?codArquivo=1138;;phd/ndltd/Pontes11a;2019-07-26;ndltd.org (oai:agregador.ibict.br.BDTD_ITA:oai:ita.br:1138);source;Instituto Tecnológico de Aeronáutica, São José dos Campos, São Paulo, Brazil;Contribuições do model checking e da metodologia CoFi para o software embarcado espacial.;2011
90180;Ruirui Li 0002;https://hdl.handle.net/10722/181541|https://www.base-search.net/Record/79c004e71f59c453451880bc6822278bd606c2c8dc3cc8007623e99a23d9c27b;;phd/basesearch/Li13i;2023-03-06;base-search.net (ftunivhongkonghu:oai:hub.hku.hk:10722/181541);source;University of Hong Kong;A probabilistic approach to diversified query recommendation.;2013
92450;Santanu Sarma;http://n2t.net/ark:/13030/m5n637qs|http://n2t.net/ark:/13030/m5qr9jxm|http://www.escholarship.org/uc/item/18f7t7bn|https://www.base-search.net/Record/a4683d0474bd2ba9ad595cfdfec9a91fde5b854318129c14200903eebc8c31c2|https://www.base-search.net/Record/c871be4a938c5fe16410d2ee0743800eee191a145a27332e07faa757d64bda7c;;phd/basesearch/Sarma15;2023-03-06;base-search.net (ftcdlib:qt18f7t7bn);source;University of California, Irvine, USA;Essence: Machine Learning Approaches to Scalable and Energy Efficient Sense-making for Internet-of-Things (IoT).;2015
94798;Wangda Zhang;https://doi.org/10.5353/th_b5177353|https://hdl.handle.net/10722/196484|https://www.base-search.net/Record/6f7d82db1c72d26a81870263db3fce3259401336fa36360b01bb5c6cf3beaa47;;phd/basesearch/Zhang13n;2022-06-10;base-search.net (ftunivhongkonghu:oai:hub.hku.hk:10722/196484);source;University of Hong Kong, Pokfulam, Hong Kong;Evaluating multi-way joins over discounted hitting time.;2013
98587;Adams Wei Yu;https://doi.org/10.5353/th_b5194753|https://hdl.handle.net/10722/197515|https://www.base-search.net/Record/5f5fa6b54ebf17fed5e16f1784ded7b1738da5dd6f94cc1c1d61bf9a999cbcfb;;phd/basesearch/Yu13f;2023-03-09;base-search.net (ftunivhongkonghu:oai:hub.hku.hk:10722/197515);source;University of Hong Kong, Pokfulam, Hong Kong;Reverse Top-k search using random walk with restart.;2013
103261;Salma Hosni Emam Mohamed Elmalaki;http://n2t.net/ark:/13030/m5p57w6d|http://www.escholarship.org/uc/item/2f74g5mw|https://www.base-search.net/Record/54d9a40cafc81fb89093ac17e2a9a5b0392f205c196faccfcbbb14ffb9d5d088;;phd/basesearch/MohamedElmalaki14;2022-01-07;base-search.net (ftcdlib:qt2f74g5mw);source;University of California, Los Angeles, USA;Context-Aware Runtime Engine For Android Operating System.;2014
3385472;Vanessa C. Klaas;http://www.pms.ifi.lmu.de/publikationen/diplomarbeiten/Vanessa.Klaas/thesis.pdf;oa;ms/Klaas2007;2020-03-12;;;Diplomarbeit, LMU München, Informatik;Who's Who in the World Wide Web: Approaches to Name Disambiguation;2007
3385473;Kurt P. Brown;;;ms/Brown92;2018-06-13;;;University of Wisconsin-Madison;PRPL: A Database Workload Specification Language, v1.3.;1992
3385474;Rita Ley;http://dblp.uni-trier.de/papers/DiplomarbeitRitaLey.pdf;oa;ms/Ley2006;2020-03-12;;;Diplomarbeit, Universität Trier, FB VI, Physische Geographie;Der Einfluss kleiner naturnaher Retentionsmaßnahmen in der Fläche auf den Hochwasserabfluss - Kleinrückhaltebecken -.;2006
3385475;Oliver Hoffmann 0002;http://dblp.uni-trier.de/papers/DiplomarbeitOliverHoffmann.pdf;oa;ms/Hoffmann2008;2020-03-12;Diplomarbeit, Universität Trier, FB IV, DBIS/DBLP;;University of Trier;Regelbasierte Extraktion und asymmetrische Fusion bibliographischer Informationen.;2009
3385476;Tolga Yurek;;;ms/Yurek97;2018-06-13;;;University of California at Santa Barbara, Department of Computer Science, CA, USA;Efficient View Maintenance at Data Warehouses.;1997
3385477;Stephan Vollmer;http://dbis.uni-trier.de/Diplomanden/Vollmer/vollmer.shtml;;ms/Vollmer2006;2018-06-13;;;Diplomarbeit, Universität Trier, FB IV, Informatik;Portierung des DBLP-Systems auf ein relationales Datenbanksystem und Evaluation der Performance.;2006
